adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,"{'id': 158391, 'name': 'The Apu Collection', 'poster_path': '/kDZJiqL5bCWsbdw2WFqwQoYLUhj.jpg', 'backdrop_path': '/b5zCX85EvJpizJzA2WaQmkd6DN6.jpg'}",0,"[{'id': 18, 'name': 'Drama'}]",,5801,tt0048473,bn,পথের পাঁচালী,"The film is a coming-of-age story of a young boy named Apu, and life in his small Indian village in the early years of the 20th century. Apu is born to a poor Brahmin family in Bengal. His father Harihar is a priest who dreams of becoming a successful poet and a playwright; he does not earn enough, but the mother Sarbajaya keeps the family going. Because of their limited resources, Sarbajaya resents having to share her home with Harihar's elderly cousin: the old and helpless cripple Indir. Apu's sister Durga is always getting into trouble for stealing guavas from the neighbour's orchards for Indir. She cares for Apu like a good older sister but loves to affectionately tease him. Together, they make do with what they have and enjoy the simple joys of life.",3.900709,/frZj5djlU9hFEjMcL21RJZVuG5O.jpg,"[{'name': 'Government of West Bengal', 'id': 1984}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1955-08-26,536364,125,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}]",Released,,Pather Panchali,False,7.9,63
False,"{'id': 158391, 'name': 'The Apu Collection', 'poster_path': '/kDZJiqL5bCWsbdw2WFqwQoYLUhj.jpg', 'backdrop_path': '/b5zCX85EvJpizJzA2WaQmkd6DN6.jpg'}",0,"[{'id': 18, 'name': 'Drama'}]",,896,tt0052572,bn,অপুর সংসার,Apu is a jobless ex-student dreaming vaguely of a future as a writer. An old college friend talks him into a visit up-country to a village wedding....,2.381806,/6Tz1Q69o2n3Zwb0ZffzPL0nFt2T.jpg,"[{'name': 'Satyajit Ray Productions', 'id': 26424}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1959-05-01,16000,117,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}]",Released,,The World of Apu,False,8.2,40
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,480,tt0265343,hi,Monsoon Wedding,From an exciting Indian wedding comes a relationship from two different times not only showing the modern but also the traditional. Different characters and stories interact with each other in director Mira Nair film where she used an Indian-American production to illustrate these themes modern day Indians are very familiar with.,10.625504,/2LysDwqhK0GlGtQqjPCiDeiBoqU.jpg,"[{'name': 'IFC Films', 'id': 307}, {'name': 'Mirabai Films', 'id': 6235}, {'name': 'The Criterion Collection', 'id': 10932}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2001-08-30,0,114,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India.",Monsoon Wedding,False,6.8,59
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,4435,tt0249371,hi,अशोक,"In India, about 260 BC in the Empire of Magadha, the Prince Asoka (Shah Rukh Khan) survives to many betrayals of his brothers, leaded by the evil Susima (Ajit Kumar), who wants to kill him to inherit the throne. His mothers orders Asoka to leave Magadha, and while traveling, he meets Princess Kaurwaki (Karriena Kapoor) and her brother, Prince Aryan (Sooraj Balaji) from Kalinga, who are undercover and protected by General Bheema (Rahul Dev). Asoka and Kaurwaki falls in love for each other, but the mother of Asoka calls him back to Magadha. When he returns, he does not find Kaurwaki, who was attacked by traitors of Kalinga. When Asoka's mother is killed by a man of Susima, Asoka becomes mad, kills all his evil brothers but Sugatra, who escapes to Kalinga. Asoka decides to conquer Kalinga, but in the end, he concludes that he has not built an empire, but conquered only corpses and destroyed everything, and he decides to spread love and the Buddhism.",1.484908,/gd6yxgNJigLzyJ5tNQee20gpXNH.jpg,"[{'name': 'Dreamz Unlimited', 'id': 1570}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2001-09-13,19000000,155,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,Only the dead have seen the end of war,Asoka,False,5.8,28
False,,5200000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",http://www.lagaan.com,19666,tt0169102,hi,लगान,"Lagaan tells the tale of the Indian village Champaner, beset by drought and British colonialism in the year 1893. Without a drop of rain in months, the worried villagers of Champaner decide to ask the local authorities for a temporary repeal of their taxes -- the hated lagaan. Led by the heroic Bhuvan (Indian superstar Aamir Khan) they bring their plight to the military governor, Captain Russell (Paul Blackthorne). But the sadistic Russell threatens to raise the lagaan threefold, unless the villagers can beat his men at a game of cricket, in which case he'll lift taxes on the entire province for a period of three years. Bhuvan accepts the challenge, but there's a problem -- no one in Champaner knows how to play cricket. A band of misfits come to the rescue, coached by Russell's soft-hearted sister Elizabeth (Rachel Shelley), and the race is on to be ready in three months' time. An epic reworking of Victory with eye-popping song-and-dance routines.",4.97451,/doEONh2sS9zMEvhrqKPJoRDANnq.jpg,"[{'name': 'Aamir Khan Productions', 'id': 2140}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2001-06-15,8100000,224,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'iso_639_1': 'ur', 'name': 'اردو'}]",Released,Once upon a time in India,Lagaan: Once Upon a Time in India,False,7.2,125
False,"{'id': 158391, 'name': 'The Apu Collection', 'poster_path': '/kDZJiqL5bCWsbdw2WFqwQoYLUhj.jpg', 'backdrop_path': '/b5zCX85EvJpizJzA2WaQmkd6DN6.jpg'}",0,"[{'id': 18, 'name': 'Drama'}]",,897,tt0048956,bn,অপরাজিত,The Unvanquished is the second part of the Bangladesh Apu film series about a boy named Apu who gets a scholarship to study at a College in Calcutta. His mother is alone and torn between wanting him to be successful and not wanting him to leave her alone.,2.80051,/9sMmihRqqeM6abnINWuxkX4Olpo.jpg,"[{'name': 'Epic Productions', 'id': 1988}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1956-10-11,170215,110,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}]",Released,,Aparajito,False,7.9,44
False,,7000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,4251,tt0420332,hi,Veer-Zaara,"The story of the love between Veer Pratap Singh, an Indian, and Zaara Hayaat Khan, a Pakistani...a love so great it knows no boundaries...",3.319516,/7rc8qXMjMcemhVFjKP2JWCS1Wpz.jpg,"[{'name': 'Yash Raj Films', 'id': 1569}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2004-11-12,29385320,192,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,A Love Legend,Veer-Zaara,False,7.5,67
False,,5200000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,21210,tt0164538,hi,दिल से,The clash between love and ideology is portrayed in this love story between a radio executive and a beautiful revolutionary.,1.891138,/pfEQqI471KmiuaxWMqhNCEVv022.jpg,"[{'name': 'Varma Corporation', 'id': 19230}, {'name': 'India Talkies', 'id': 69701}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1998-08-22,13000000,163,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'iso_639_1': 'ml', 'name': ''}, {'iso_639_1': 'ta', 'name': 'தமிழ்'}]",Released,,Dil Se..,False,6.7,29
False,,1530000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,11854,tt0172684,hi,Kuch Kuch Hota Hai,"Anjali is left heartbroken when her best friend and secret crush, Rahul, falls in love with Tina. Years later, Tina's young daughter tries to fulfil her mother's last wish of uniting Rahul and Anjali.",6.441119,/gCxR77PigGO7OvewN4sAATeI363.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",1998-10-16,15306000,185,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,Something Happens,Kuch Kuch Hota Hai,False,7.5,93
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,10757,tt0248126,hi,Kabhi Khushi Kabhie Gham,"Orthodox Indian, Raichand, would like his two sons to live together with him and his wife, and get married to girls' of his choice. One of his sons, Rahul, is adopted, while Rohan is his real son. Rahul falls in love with a poor Indian girl named Anjali, and incurs the displeasure of Raichand, they argue and fight, as a result Rahul leaves the house, moves to Britain, and settles down. Raichand now focuses his attention on his real son, Rohan, who has no plans to get married, but is determined to bring Rahul and Anjali back home so that they can be together again. Will Raichand permit Rohan to have his way, or will he also ask him to leave the house?",6.523888,/fqEKDhN0JVyWKQpMUPZ7We6lCLq.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",2001-12-14,0,210,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,It's all about loving your parents.,Kabhi Khushi Kabhie Gham,False,7.6,103
